company	company_number	days_left	equity_perc_offered	founded	investment_received	investment_required	location	num_investors	pitch_id	pitch_url	scheme	sector_1	sector_2	sector_3	type	Source
Dirt Factory	09490482	 	45.18%	14th March 2015	£435,580	£300,000	Mossley, Greater Manchester	546	pitch-19456	https://www.crowdcube.com/investment/dirt-factory-19456	EIS	Sport & Leisure	Health & Fitness	Retail	 A (£3,000), B	Crowdcube
Doisy and Dam	07999718	 	8.11%	21st March 2012	£300,000	£150,000	City of Westminster, London	84	pitch-20913	https://www.crowdcube.com/investment/doisy-and-dam-20913	EIS	Food and Drink			 A (£5,000), B	Crowdcube
AutoTrip	08703170	 	20.00%	23rd September 2013	£473,440	£350,000	London	446	pitch-20802	https://www.crowdcube.com/investment/autotrip-20802	EIS	Technology	Professional and Business Services	IT and Telecommunications	 A (£5,000), B	Crowdcube
Pocket Land Bond	04538848	 		17th September 2002	£2,500,000		City of Westminster, London	448	pitch-20590	https://www.crowdcube.com/investment/pocket-land-bond-20590		Other				Crowdcube
Rentify	07723819	 	4.76%	31st July 2011	£1,382,769	£1,000,000	Islington, London	506	pitch-20851	https://www.crowdcube.com/investment/rentify-20851	EIS	Technology	Other		 A (£50,000, optional), Ordinary Shares	Crowdcube
MyGravity	09129309	 	4.23%	13th July 2014	£156,440	£150,000	London	3	pitch-20735	https://www.crowdcube.com/investment/mygravity-20735	SEIS	Internet Business	Other	Retail	 A (£10,000), B	Crowdcube
LUCY'S DRESSINGS	09497428	 	10.34%	19th March 2015	£124,990	£75,000	London	93	pitch-20648	https://www.crowdcube.com/investment/lucy-s-dressings-20648	EIS	Food and Drink			 A (£3,000), B	Crowdcube
THE FRIDAY BEER CO.	07695092	 	25.00%	5th July 2011	£169,760	£150,000	Malvern	260	pitch-20786	https://www.crowdcube.com/investment/the-friday-beer-co-20786	EIS	Consumer products	Retail	Food and Drink	 A (£5,000), B	Crowdcube
Primo	08583025	 	7.41%	24th June 2013	£274,726	£200,000	Camden, London	294	pitch-18884	https://www.crowdcube.com/investment/primo-18884	EIS	Technology	Art and Design	Education	 Ordinary Shares	Crowdcube
12TH BATTALION PRODUCTIONS	08915716	 	10.50%	27th February 2014	£139,880	£140,000	Brent, London	39	pitch-20637	https://www.crowdcube.com/investment/12th-battalion-productions-20637	EIS	Technology	Media and Creative Services		 A Shares Only	Crowdcube
TripConsul	09135893	 	15.62%	16th July 2014	£144,900	£100,000	London	77	pitch-20759	https://www.crowdcube.com/investment/tripconsul-20759	SEIS	Technology	Internet Business	Leisure and Tourism	 A (£3,000), B	Crowdcube
ChargeBox	05342386	 	11.00%	25th January 2005	£505,940	£500,000	Chiswick, London	155	pitch-20526	https://www.crowdcube.com/investment/chargebox-20526	EIS	Technology	Manufacturing		 A (£5,000), B	Crowdcube
CAT IN A FLAT	09002109	 	4.76%	16th April 2014	£50,610	£50,000	London	72	pitch-20595	https://www.crowdcube.com/investment/cat-in-a-flat-20595	SEIS	Professional and Business Services			 A (£5,000), B	Crowdcube
Sourced Market Bond	06845733	 		13th March 2009	£961,000		Camden, London	252	pitch-20656	https://www.crowdcube.com/investment/sourced-market-bond-20656		Retail	Food and Drink			Crowdcube
Eight Point Nine	07598529	 	16.67%	10th April 2011	£149,910	£150,000	London	134	pitch-20508	https://www.crowdcube.com/investment/eight-point-nine-20508	EIS	Internet Business	Consumer products	Food and Drink	 A (£3,000), B	Crowdcube
Crowdfunder	07831511	 	6.67%	2nd November 2011	£1,317,900	£1,000,000	Newquay, Cornwall	912	pitch-19203	https://www.crowdcube.com/investment/crowdfunder-19203	EIS	Technology	Internet Business	Media and Creative Services	 A (£10,000), B	Crowdcube
The Stable Musical Theatre UK	08795628	 	6.39%	29th November 2013	£64,560	£60,000	City of Westminster, London	109	pitch-18809	https://www.crowdcube.com/investment/the-stable-musical-theatre-uk-18809	EIS	TV and Theatre	Film		 A (£5,000), B	Crowdcube
POD Point - Open Charge Bond	09827454	 		15th October 2015	£373,450		Islington, London	154	pitch-20655	https://www.crowdcube.com/investment/pod-point-open-charge-bond-20655		Technology	Consumer products	Environmental and Ethical		Crowdcube
THE VILLAGE HABERDASHERY	07424986	 	12.00%	1st November 2010	£98,070	£80,000	London	261	pitch-20660	https://www.crowdcube.com/investment/the-village-haberdashery-20660	EIS	Retail			 A Shares Only	Crowdcube
HAANDLE	09247593	 	15.00%	2nd October 2014	£149,950	£150,000	Sheffield	60	pitch-20631	https://www.crowdcube.com/investment/haandle-20631	SEIS	Technology	Internet Business	Consumer products	 A (£5,000), B	Crowdcube
TASTE Cocktails	09578819	 	7.41%	6th May 2015	£83,610	£60,000	London	192	pitch-20732	https://www.crowdcube.com/investment/taste-cocktails-20732	SEIS	Internet Business	Consumer products	Food and Drink	 A (£2,000), B	Crowdcube
ECONNECT CARS	08459290	 	17.59%	25th March 2013	£464,620	£400,000	London	214	pitch-20761	https://www.crowdcube.com/investment/econnect-cars-20761	EIS	Consumer products	Environmental and Ethical	Professional and Business Services	 A (£2,500), B	Crowdcube
Bondi Bond		 			£773,000		City of Westminster, London	217	pitch-20653	https://www.crowdcube.com/investment/bondi-bond-20653		Food and Drink				Crowdcube
Run an Empire	09606827	 	5.51%	25th May 2015	£123,040	£70,000	Tower Hamlets, London	120	pitch-20682	https://www.crowdcube.com/investment/run-an-empire-20682	SEIS	Sport & Leisure	Technology	Health & Fitness	 A (£10,000), B	Crowdcube
One Rebel	08827353	 	13.04%	30th December 2013	£2,916,020	£1,500,000	London	433	pitch-20724	https://www.crowdcube.com/investment/one-rebel-20724	EIS	Sport & Leisure	Health & Fitness	Food and Drink	 A (£25,000), B	Crowdcube
Po-Zu	09558583	 	16.67%	22nd April 2015	£199,940	£150,000	London	119	pitch-20751	https://www.crowdcube.com/investment/po-zu-20751	EIS	Consumer products	Environmental and Ethical	Retail	 A (£5,000), B	Crowdcube
Seadog Productions	08964770	 	22.00%	28th March 2014	£415,390	£275,000	Dartmouth, Devon	346	pitch-20510	https://www.crowdcube.com/investment/seadog-productions-20510	EIS	TV and Theatre	Film		 A (£2,500), B	Crowdcube
My Mate Your Date	08769822	 	7.21%	11th November 2013	£85,820	£75,000	Islington, London	97	pitch-19325	https://www.crowdcube.com/investment/my-mate-your-date-19325	EIS	Technology	Internet Business	Consumer products	 A (£2,500), B	Crowdcube
HEN RESTAURANTS	09221955	 	11.76%	16th September 2014	£147,830	£100,000	Brighton	139	pitch-20621	https://www.crowdcube.com/investment/hen-restaurants-20621	SEIS	Food and Drink			 A Shares Only	Crowdcube
ONGALLERY	08914200	 	11.12%	27th February 2014	£322,740	£250,000	London	136	pitch-20616	https://www.crowdcube.com/investment/ongallery-20616	EIS	Consumer products	Media and Creative Services		 A (£5,000), B	Crowdcube
CADENCE PERFORMANCE	07966116	 	11.11%	27th February 2012	£594,780	£300,000	London	228	pitch-20721	https://www.crowdcube.com/investment/cadence-performance-20721	EIS	Sport & Leisure	Health & Fitness		 A (£2,000), B	Crowdcube
CHRYSALIS VISION	08898913	 	26.67%	17th February 2014	£329,010	£200,000	London	196	pitch-20678	https://www.crowdcube.com/investment/chrysalis-vision-20678	EIS	Media and Creative Services			 B Shares Only	Crowdcube
Empiribox	08261350	 	5.26%	18th October 2012	£112,530	£125,000	London	111	pitch-18864	https://www.crowdcube.com/investment/empiribox-18864	EIS	Technology	Professional and Business Services	Education	 A (£5,000), B	Crowdcube
Faction Skis		 	3.51%		£775,870	£500,000	Shoreditch, London	222	pitch-20685	https://www.crowdcube.com/investment/faction-skis-20685	EIS	Sport & Leisure	Consumer products	Retail	 A Shares Only	Crowdcube
HICI	09372824	 	15.38%	5th January 2015	£124,360	£100,000	Newark	90	pitch-20718	https://www.crowdcube.com/investment/hici-20718	SEIS	Consumer products	Retail	Manufacturing	 A (£3,000), B	Crowdcube
InYourStride	08844173	 	13.64%	14th January 2014	£118,160	£100,000	Bristol, City of Bristol	92	pitch-19795	https://www.crowdcube.com/investment/inyourstride-19795	EIS	Sport & Leisure	Technology	Health & Fitness	 A (£3,000), B	Crowdcube
BidStack	09835625	 	9.09%	20th October 2015	£137,650	£100,000	Haringey, London	67	pitch-20749	https://www.crowdcube.com/investment/bidstack-20749	SEIS	Technology	Internet Business	Media and Creative Services	 A (£3,000), B	Crowdcube
Skin Analytics	07919560	 	23.45%	23rd January 2012	£504,110	£450,000	Islington, London	219	pitch-20273	https://www.crowdcube.com/investment/skin-analytics-20273	EIS	Consumer products	Health & Fitness		 A (£5,000), B	Crowdcube
Earlybird	09075003	 	20.00%	5th June 2014	£303,340	£300,000	Tower Hamlets, London	185	pitch-20109	https://www.crowdcube.com/investment/earlybird-20109	EIS	Internet Business	Health & Fitness	Food and Drink	 A (£3,000), B	Crowdcube
GF Foods	06406368	 	12.50%	22nd October 2007	£182,400	£200,000	Selby	143	pitch-20491	https://www.crowdcube.com/investment/gf-foods-20491	EIS	Food and Drink			 A (£2,500), B	Crowdcube
Wool and the Gang	08332008	 	9.09%	14th December 2012	£1,013,920	£750,000	Hackney, London	492	pitch-19321	https://www.crowdcube.com/investment/wool-and-the-gang-19321	EIS	Internet Business	Retail	Art and Design	 Ordinary and Seed Preferred 3 Shares (£25,000)	Crowdcube
Alquity	07992381	 	4.48%	15th March 2012	£578,340	£500,000	London	379	pitch-19092	https://www.crowdcube.com/investment/alquity-19092	EIS	Environmental and Ethical	Other	Professional and Business Services	 Preferred Ordinary Shares & B Shares	Crowdcube
BrewDog	SC311560	 	78.12%	7th November 2006	£814,815	£500,000	Ellon, Aberdeenshire	1072	pitch-20465	https://www.crowdcube.com/investment/brewdog-20465		Consumer products	Food and Drink		 B Shares Only	Crowdcube
BrewDog Bond	SC311560	 		7th November 2006	£2,312,000		Ellon, Aberdeenshire	815	pitch-20331	https://www.crowdcube.com/investment/brewdog-bond-20331		Consumer products	Food and Drink			Crowdcube
Growing Underground	08067659	 	10.00%	13th May 2012	£243,190	£200,000	Lambeth, London	309	pitch-19996	https://www.crowdcube.com/investment/growing-underground-19996	EIS	Environmental and Ethical	Manufacturing	Food and Drink	 A (£5,000), B	Crowdcube
Vulpine	07211640	 	9.09%	31st March 2010	£1,006,510	£500,000	Wandsworth, London	582	pitch-19885	https://www.crowdcube.com/investment/vulpine-19885	EIS	Sport & Leisure	Consumer products	Health & Fitness	 A (£10,000), B	Crowdcube
ALEXI	09211904	 	15.79%	9th September 2014	£176,590	£150,000	London	156	pitch-20579	https://www.crowdcube.com/investment/alexi-20579	SEIS	Media and Creative Services			 A (£1,500), B	Crowdcube
ioLight	08905428	 	10.00%	20th February 2014	£242,180	£150,000	Whitchurch, Hampshire	249	pitch-19736	https://www.crowdcube.com/investment/iolight-19736	EIS	Technology	Manufacturing	Education	 A (£3,000), B	Crowdcube
HonestBrew	08276744	 	15.00%	1st November 2012	£401,220	£300,000	City of Westminster, London	426	pitch-16341	https://www.crowdcube.com/investment/honestbrew-16341	EIS	Technology	Internet Business	Food and Drink	 B Ordinary Shares & C Ordinary Shares	Crowdcube
CoControl	09018497	 	14.29%	29th April 2014	£149,790	£100,000	Southwark, London	124	pitch-19853	https://www.crowdcube.com/investment/cocontrol-19853	SEIS	Technology	Environmental and Ethical	Other	 A (£10,000), B	Crowdcube
eMoov.co.uk	07118826	 	5.00%	7th January 2010	£2,622,360	£1,000,000	Pilgrims Hatch, Brentwood, Essex	765	pitch-18256	https://www.crowdcube.com/investment/emoov-co-uk-18256	EIS	Internet Business	Consumer products	Professional and Business Services	 Seed and C Ordinary shares	Crowdcube
Evogro	07832826	 	16.50%	2nd November 2011	£282,350	£250,000	East Malling, Kent	229	pitch-18686	https://www.crowdcube.com/investment/evogro-18686	EIS	Technology	Food and Drink		 A (£5,000), B	Crowdcube
Hochanda	09534899	 	16.37%	9th April 2015	£1,962,744	£1,900,000	Peterborough	275	pitch-20117	https://www.crowdcube.com/investment/hochanda-20117	EIS	TV and Theatre	Film	Retail,Internet Business	 C shares only	Crowdcube
